,word,adult_definition,kids_definition,simplified,similarity
141,genetics,'The science that is concerned with the study of biological inheritance.','the scientific study of the ways in which different characteristics are passed from each generation of living things to the next',the study of how living things pass on their characteristics to their babies.,0.8549671
142,geophysics,'The physics of the earth and its environment that is earth air and space.','the scientific study of the physics of the earth including its atmosphere climate and magnetism',"The study of the earth's physics, including its atmosphere, climate, and magnetism is scientific.",0.84806925
143,germination,'The beginning or the process of development of a spore or seed.','the process by which a seed starts to grow',When a seed begins to grow.,0.8130976
144,glacier,'Slow moving masses of ice which have accumulated either on mountains or in polar regions.','a slow-moving mass or river of ice formed from snow on mountains or near the North Pole or South Pole',The glacier is a slow-moving river of ice.,0.7435987
145,glossary,'An alphabetical list of terms concerned with a particular subject field or area of usage that includes accompanying definitions.','a list of technical or special words especially those in a particular text explaining their meanings','a list of difficult words with their meanings' ,0.8124169
146,glue,'Substance used for sticking objects together.','a sticky substance that is used for joining things together','a sticky thing used to join things' ,0.85801244
147,grassland,'An area where the vegetation is dominated by grasses and other herbaceous plants.','a large area of open land covered with wild grass','a big field with long wild grass',0.8859745
148,grazing,'The vegetation on pastures that is available for livestock to feed upon.','land with grass that cows sheep etc. can eat',"The land has grass that cows, sheep and others can eat.",0.8192117
149,groundwater,'Water that occupies pores and crevices in rock and soil below the surface and above a layer of impermeable material.','water that is found under the ground in soil rocks etc.',water in the ground.,0.79250777
150,gypsum,'A colourless or white mineral used in the building industry and in the manufacture of cement rubber paper and plaster of Paris.','a soft white mineral like chalk that is found naturally and is used in making plaster of Paris',a soft white mineral like chalk that is found naturally and used in making plaster of Paris.,0.9189962
